album_name,artist_name,track_name,platform,Track Played Date,No of Albums,No of Artists,No of Tracks,Milliseconds Played,Avg Listening Time (min)
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-01-18 00:00:00,1,1,1,135940,1.1328333333333334
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-01-19 00:00:00,1,1,1,146613,2.44355
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-01-20 00:00:00,1,1,1,2643,0.022025
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-01-21 00:00:00,1,1,1,639348,2.13116
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-02-01 00:00:00,1,1,1,163541,1.3628416666666667
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-02-02 00:00:00,1,1,1,146613,2.44355
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-02-17 00:00:00,1,1,1,146613,2.44355
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-02-18 00:00:00,1,1,1,25664,0.21386666666666668
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-04-21 00:00:00,1,1,1,146613,2.44355
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2021-09-05 00:00:00,1,1,1,146613,2.44355
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2022-01-08 00:00:00,1,1,1,146613,2.44355
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2022-05-02 00:00:00,1,1,1,3332,0.05553333333333333
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2022-08-20 00:00:00,1,1,1,36061,0.6010166666666666
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2022-10-01 00:00:00,1,1,1,2249,0.037483333333333334
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2023-03-27 00:00:00,1,1,1,146613,2.44355
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2023-06-10 00:00:00,1,1,1,25080,0.418
!!Going Places!!,Herb Alpert & The Tijuana Brass,Mae,android,2024-09-12 00:00:00,1,1,1,146613,2.44355
"""Awaken, My Love!""",Childish Gambino,Me and Your Mama,android,2023-08-06 00:00:00,1,1,1,379226,6.320433333333333
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2020-10-22 00:00:00,1,1,1,293758,4.895966666666666
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-07-25 00:00:00,1,1,1,112895,1.8815833333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-07-28 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-08-07 00:00:00,1,1,1,21619,0.18015833333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-08-09 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-08-21 00:00:00,1,1,1,25630,0.42716666666666664
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-08-29 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-09-01 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-09-11 00:00:00,1,1,1,326933,5.448883333333334
"""Awaken, My Love!""",Childish Gambino,Redbone,android,2021-10-10 00:00:00,1,1,1,326933,5.448883333333334
